Month,Passengers,trend,detrend,avg_seasonality,random_noise,recontructed
1954-08-01,293,242.083333333,1.210327022,1.222716522,0.989867235,293
1954-09-01,259,245.833333333,1.053559322,1.063440298,0.990708481,259
1954-10-01,229,248.5,0.921529175,0.92450994,0.996775843,229
1954-11-01,203,252,0.805555556,0.803798323,1.002186161,203
1954-12-01,229,255,0.898039216,0.902477105,0.995082546,229
1955-01-01,242,259.25,0.933461909,0.914742573,1.020464048,242
1955-02-01,233,264.416666667,0.881184998,0.887863451,0.992478063,233
1955-03-01,267,268.916666667,0.992872637,1.010942758,0.982125476,267
1955-04-01,269,273.333333333,0.984146341,0.978780954,1.005481704,269
1955-05-01,270,277.083333333,0.97443609,0.983574383,0.990709098,270
1955-06-01,315,279.916666667,1.125334921,1.115711184,1.008625653,315
1955-07-01,364,284,1.281690141,1.230005305,1.042020011,364
1955-08-01,347,287.5,1.206956522,1.222716522,0.987110667,347
1955-09-01,312,291.166666667,1.071551231,1.063440298,1.007627069,312
1955-10-01,274,295.333333333,0.927765237,0.92450994,1.003521105,274
1955-11-01,237,299,0.79264214,0.803798323,0.98612067,237
1955-12-01,278,303,0.917491749,0.902477105,1.016637147,278
1956-01-01,284,307.916666667,0.92232747,0.914742573,1.008291837,284
1956-02-01,277,312,0.887820513,0.887863451,0.999951639,277
1956-03-01,317,316.833333333,1.000526039,1.010942758,0.989696035,317
1956-04-01,313,320.416666667,0.976853056,0.978780954,0.998030307,313
1956-05-01,318,323.083333333,0.984266185,0.983574383,1.000703355,318
1956-06-01,374,325.916666667,1.1475326,1.115711184,1.028521195,374
1956-07-01,413,328.25,1.258187357,1.230005305,1.022912139,413
1956-08-01,405,330.833333333,1.22418136,1.222716522,1.001198019,405
1956-09-01,355,332.833333333,1.0665999,1.063440298,1.002971114,355
1956-10-01,306,336.083333333,0.91048847,0.92450994,0.984833619,306
1956-11-01,271,339,0.799410029,0.803798323,0.994540554,271
1956-12-01,306,342.083333333,0.894518879,0.902477105,0.991181798,306
1957-01-01,315,346.083333333,0.910185408,0.914742573,0.99501809,315
1957-02-01,301,350.416666667,0.858977408,0.887863451,0.967465669,301
1957-03-01,356,355.583333333,1.001171783,1.010942758,0.99033479,356
1957-04-01,348,359.666666667,0.967562558,0.978780954,0.9885384,348
1957-05-01,355,363.083333333,0.977736975,0.983574383,0.994065108,355
1957-06-01,422,365.916666667,1.153268048,1.115711184,1.033661816,422
1957-07-01,465,368.416666667,1.262157883,1.230005305,1.026140194,465
1957-08-01,467,370.5,1.260458839,1.222716522,1.030867594,467
1957-09-01,404,371.916666667,1.086264844,1.063440298,1.021462932,404
1957-10-01,347,372.416666667,0.93175207,0.92450994,1.00783348,347
1957-11-01,305,372.416666667,0.818975162,0.803798323,1.018881402,305
1957-12-01,336,373.083333333,0.900603082,0.902477105,0.997923468,336
1958-01-01,340,374.166666667,0.908685969,0.914742573,0.993378898,340
1958-02-01,318,376.333333333,0.844995571,0.887863451,0.951717936,318
1958-03-01,362,379.5,0.953886693,1.010942758,0.943561528,362
1958-04-01,348,379.5,0.916996047,0.978780954,0.936875655,348
1958-05-01,363,380.5,0.954007884,0.983574383,0.969939743,363
1958-06-01,435,380.916666667,1.141982061,1.115711184,1.023546306,435
1958-07-01,491,381,1.288713911,1.230005305,1.047730368,491
1958-08-01,505,382.666666667,1.319686411,1.222716522,1.079306926,505
1958-09-01,404,384.666666667,1.050259965,1.063440298,0.98760595,404
1958-10-01,359,388.333333333,0.924463519,0.92450994,0.999949789,359
1958-11-01,310,392.333333333,0.790144435,0.803798323,0.983013291,310
1958-12-01,337,397.083333333,0.848688353,0.902477105,0.940398762,337
1959-01-01,360,400.166666667,0.899625156,0.914742573,0.983473583,360
1959-02-01,342,404.916666667,0.844618234,0.887863451,0.951292942,342
1959-03-01,406,409.416666667,0.991654793,1.010942758,0.980920814,406
1959-04-01,396,414.333333333,0.955752212,0.978780954,0.976472017,396
1959-05-01,420,418.333333333,1.003984064,0.983574383,1.020750521,420
1959-06-01,472,422.666666667,1.116719243,1.115711184,1.000903512,472
1959-07-01,548,428.333333333,1.279377432,1.230005305,1.040139767,548
1959-08-01,559,433.083333333,1.29074466,1.222716522,1.055636885,559
1959-09-01,463,437.166666667,1.059092642,1.063440298,0.995911707,463
1959-10-01,407,438.25,0.928693668,0.92450994,1.004525347,407
1959-11-01,362,443.666666667,0.815927874,0.803798323,1.015090291,362
1959-12-01,405,448,0.904017857,0.902477105,1.001707248,405
1960-01-01,417,453.25,0.920022063,0.914742573,1.005771558,417
1960-02-01,391,459.416666667,0.851079267,0.887863451,0.958569999,391
1960-03-01,419,463.333333333,0.904316547,1.010942758,0.894527944,419
1960-04-01,461,467.083333333,0.986975914,0.978780954,1.008372619,461
1960-05-01,472,471.583333333,1.000883548,0.983574383,1.017598227,472
1960-06-01,535,473.916666667,1.128890452,1.115711184,1.011812437,535
1960-07-01,622,,,,,
1960-08-01,606,,,,,
1960-09-01,508,,,,,
1960-10-01,461,,,,,
1960-11-01,390,,,,,
1960-12-01,432,,,,,
